GitHubUsername,Date,EventName
sayeeg-11,2025-11-01,Winter Code Jam
abhishekkumar177,2025-11-01,Winter Code Jam
randomUser1,2025-11-01,Winter Code Jam
dev_wizard,2025-11-01,Winter Code Jam
code_ninja,2025-11-01,Winter Code Jam
pixel_artist,2025-11-01,Winter Code Jam
frontend_guru,2025-11-01,Winter Code Jam
sayeeg-11,2025-11-15,Cloud Summit
randomUser1,2025-11-15,Cloud Summit
backend_master,2025-11-15,Cloud Summit
fullstack_pro,2025-11-15,Cloud Summit
tech_lead,2025-11-15,Cloud Summit
ai_researcher,2025-11-15,Cloud Summit
abhishekkumar177,2025-11-25,DevOps Bootcamp
dev_wizard,2025-11-25,DevOps Bootcamp
security_expert,2025-11-25,DevOps Bootcamp
sys_admin_01,2025-11-25,DevOps Bootcamp
cloud_architect,2025-11-25,DevOps Bootcamp
sayeeg-11,2025-11-25,DevOps Bootcamp
student_dev_01,2025-11-25,DevOps Bootcamp
student_dev_02,2025-12-05,Python Mastery Workshop
student_dev_03,2025-12-05,Python Mastery Workshop
data_scientist,2025-12-05,Python Mastery Workshop
ai_researcher,2025-12-05,Python Mastery Workshop
python_fanatic,2025-12-05,Python Mastery Workshop
abhishekkumar177,2025-12-05,Python Mastery Workshop
code_ninja,2025-12-05,Python Mastery Workshop
frontend_guru,2025-12-12,React Deep Dive
ux_designer,2025-12-12,React Deep Dive
pixel_artist,2025-12-12,React Deep Dive
web_wizard,2025-12-12,React Deep Dive
sayeeg-11,2025-12-12,React Deep Dive
react_rockstar,2025-12-12,React Deep Dive
student_dev_01,2025-12-12,React Deep Dive
security_expert,2025-12-20,Cybersecurity Awareness Seminar
white_hat,2025-12-20,Cybersecurity Awareness Seminar
net_sec_pro,2025-12-20,Cybersecurity Awareness Seminar
sys_admin_01,2025-12-20,Cybersecurity Awareness Seminar
abhishekkumar177,2025-12-20,Cybersecurity Awareness Seminar
backend_master,2025-12-20,Cybersecurity Awareness Seminar
ux_designer,2026-01-15,UI/UX Design Challenge
pixel_artist,2026-01-15,UI/UX Design Challenge
creative_mind,2026-01-15,UI/UX Design Challenge
design_lead,2026-01-15,UI/UX Design Challenge
frontend_guru,2026-01-15,UI/UX Design Challenge
sayeeg-11,2026-01-15,UI/UX Design Challenge
student_dev_02,2026-01-15,UI/UX Design Challenge
ai_researcher,2026-01-20,AI Ethics Panel
data_scientist,2026-01-20,AI Ethics Panel
robotics_fan,2026-01-20,AI Ethics Panel
tech_ethicist,2026-01-20,AI Ethics Panel
mentor_alice,2026-01-20,AI Ethics Panel
mentor_bob,2026-01-20,AI Ethics Panel
abhishekkumar177,2026-01-20,AI Ethics Panel
sayeeg-11,2026-02-10,HackTheFuture 2026
abhishekkumar177,2026-02-10,HackTheFuture 2026
dev_wizard,2026-02-10,HackTheFuture 2026
code_ninja,2026-02-10,HackTheFuture 2026
frontend_guru,2026-02-10,HackTheFuture 2026
backend_master,2026-02-10,HackTheFuture 2026
fullstack_pro,2026-02-10,HackTheFuture 2026
hackathon_winner,2026-02-10,HackTheFuture 2026
innovator_x,2026-02-10,HackTheFuture 2026
student_dev_01,2026-02-10,HackTheFuture 2026
student_dev_02,2026-02-10,HackTheFuture 2026
student_dev_03,2026-02-10,HackTheFuture 2026
neo_the_one,2026-02-10,HackTheFuture 2026
trinity_core,2026-02-10,HackTheFuture 2026
morpheus_dev,2026-02-10,HackTheFuture 2026
cipher_ops,2026-02-10,HackTheFuture 2026
open_source_fan,2026-03-05,Open Source Contribution Sprint
git_master,2026-03-05,Open Source Contribution Sprint
repo_maintainer,2026-03-05,Open Source Contribution Sprint
sayeeg-11,2026-03-05,Open Source Contribution Sprint
abhishekkumar177,2026-03-05,Open Source Contribution Sprint
contributor_plus,2026-03-05,Open Source Contribution Sprint
linux_lover,2026-03-05,Open Source Contribution Sprint
dev_wizard,2026-03-05,Open Source Contribution Sprint
mentor_alice,2026-03-05,Open Source Contribution Sprint
randomUser1,2026-03-05,Open Source Contribution Sprint
code_ninja,2025-11-15,Cloud Summit
pixel_artist,2026-02-10,HackTheFuture 2026
security_expert,2026-02-10,HackTheFuture 2026
ux_designer,2026-02-10,HackTheFuture 2026
tech_lead,2026-02-10,HackTheFuture 2026
product_manager,2026-02-10,HackTheFuture 2026
sayeeg-11,2025-12-05,Python Mastery Workshop
abhishekkumar177,2025-12-12,React Deep Dive
student_dev_01,2025-11-01,Winter Code Jam
student_dev_02,2025-11-01,Winter Code Jam
student_dev_03,2025-11-01,Winter Code Jam
mentor_bob,2025-11-01,Winter Code Jam
data_scientist,2026-02-10,HackTheFuture 2026
ai_researcher,2026-02-10,HackTheFuture 2026
cloud_architect,2026-02-10,HackTheFuture 2026
net_sec_pro,2026-02-10,HackTheFuture 2026
white_hat,2026-02-10,HackTheFuture 2026
